Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Nigeria,Abia,Osisioma,NGA,NG001011,NG00,January,2017,0,0
Nigeria,Kwara,Irepodun,NGA,NG024009,NG02,January,2017,0,0
Nigeria,Benue,Ushongo,NGA,NG007022,NG00,January,2017,0,0
Nigeria,Nassarawa,Keana,NGA,NG026005,NG02,January,2017,0,0
Nigeria,Kwara,Asa,NGA,NG024001,NG02,January,2017,0,0
Nigeria,Federal Capital Territory,Kwali,NGA,NG015006,NG01,January,2017,0,0
Nigeria,Kebbi,Danko,NGA,NG022019,NG02,January,2017,0,0
Nigeria,Imo,Orsu,NGA,NG017021,NG01,January,2017,0,0
Nigeria,Ondo,Ose,NGA,NG029017,NG02,January,2017,0,0
Nigeria,Kano,Rimin Gado,NGA,NG020033,NG02,January,2017,0,0
Nigeria,Kano,Tudun Wada,NGA,NG020041,NG02,January,2017,0,0
Nigeria,Katsina,Daura,NGA,NG021010,NG02,January,2017,0,0
Nigeria,Niger,Mariga,NGA,NG027015,NG02,January,2017,0,0
Nigeria,Akwa Ibom,Ikono,NGA,NG003012,NG00,January,2017,0,0
Nigeria,Taraba,Lau,NGA,NG035010,NG03,January,2017,0,0
Nigeria,Osun,Isokan,NGA,NG030022,NG03,January,2017,0,0
Nigeria,Niger,Paikoro,NGA,NG027019,NG02,January,2017,0,0
Nigeria,Niger,Shiroro,NGA,NG027022,NG02,January,2017,1,1
Nigeria,Zamfara,Bukkuyum,NGA,NG037004,NG03,January,2017,0,0
Nigeria,Borno,Askira Uba,NGA,NG008002,NG00,January,2017,1,3
Nigeria,Katsina,Ingawa,NGA,NG021015,NG02,January,2017,0,0
Nigeria,Rivers,Tai,NGA,NG033023,NG03,January,2017,0,0
Nigeria,Ekiti,Ikole,NGA,NG013011,NG01,January,2017,0,0
Nigeria,Ekiti,Ilejemeji,NGA,NG013012,NG01,January,2017,0,0
Nigeria,Yobe,Bursari,NGA,NG036002,NG03,January,2017,0,0
Nigeria,Ondo,Ifedore,NGA,NG029009,NG02,January,2017,0,0
Nigeria,Cross River,Calabar Municipal,NGA,NG009010,NG00,January,2017,0,0
